"","charMA.DRUGBANK_ID","charMA.DRUG_GROUPS","charMA.GENERIC_NAME"
"CMP1","DB00114","approved; investigational; nutraceutical","Pyridoxal phosphate"
"CMP2","DB00116","nutraceutical","Tetrahydrofolic acid"
"CMP3","DB00117","investigational; nutraceutical","Histidine"
"CMP4","DB00118","approved; investigational; nutraceutical","Ademetionine"
"CMP5","DB00119","approved; investigational; nutraceutical","Pyruvic acid"
"CMP6","DB00120","approved; investigational; nutraceutical","Phenylalanine"
"CMP7","DB00121","approved; investigational; nutraceutical","Biotin"
"CMP8","DB00122","approved; nutraceutical","Choline"
"CMP9","DB00123","approved; nutraceutical","Lysine"
"CMP10","DB00125","investigational; nutraceutical","Arginine"
"CMP11","DB00126","approved; nutraceutical","Ascorbic acid"
"CMP12","DB00127","experimental; nutraceutical","Spermine"
"CMP13","DB00128","approved; nutraceutical","Aspartic acid"
"CMP14","DB00129","approved; nutraceutical","Ornithine"
"CMP15","DB00130","approved; investigational; nutraceutical","L-Glutamine"
"CMP16","DB00131","approved; investigational; nutraceutical","Adenosine phosphate"
"CMP17","DB00132","approved; investigational; nutraceutical","alpha-Linolenic acid"
"CMP18","DB00133","investigational; nutraceutical","Serine"
"CMP19","DB00134","approved; nutraceutical","Methionine"
"CMP20","DB00135","approved; investigational; nutraceutical","Tyrosine"
"CMP21","DB00136","approved; nutraceutical","Calcitriol"
"CMP22","DB00137","approved; investigational; nutraceutical","Lutein"
"CMP23","DB00138","approved; nutraceutical","Cystine"
"CMP24","DB00139","approved; nutraceutical","Succinic acid"
"CMP25","DB00140","approved; investigational; nutraceutical; vet_approved","Riboflavin"
"CMP26","DB00141","approved; investigational; nutraceutical","N-Acetylglucosamine"
"CMP27","DB00142","approved; nutraceutical","Glutamic acid"
"CMP28","DB00143","approved; investigational; nutraceutical","Glutathione"
"CMP29","DB00145","approved; nutraceutical; vet_approved","Glycine"
"CMP30","DB00146","approved; nutraceutical","Calcifediol"
"CMP31","DB00147","experimental; nutraceutical","Pyridoxal"
"CMP32","DB00148","approved; investigational; nutraceutical","Creatine"
"CMP33","DB00149","investigational; nutraceutical","Leucine"
"CMP34","DB00150","approved; nutraceutical; withdrawn","Tryptophan"
"CMP35","DB00151","approved; nutraceutical","Cysteine"
"CMP36","DB00152","approved; investigational; nutraceutical; vet_approved","Thiamine"
"CMP37","DB00153","approved; nutraceutical","Ergocalciferol"
"CMP38","DB00154","investigational; nutraceutical","Dihomo-gamma-linolenic acid"
"CMP39","DB00155","investigational; nutraceutical","Citrulline"
"CMP40","DB00156","approved; nutraceutical","Threonine"
"CMP41","DB00157","approved; nutraceutical","NADH"
"CMP42","DB00158","approved; nutraceutical; vet_approved","Folic acid"
"CMP43","DB00159","approved; nutraceutical","Icosapent"
"CMP44","DB00160","nutraceutical","Alanine"
"CMP45","DB00161","approved; nutraceutical","Valine"
"CMP46","DB00162","approved; nutraceutical; vet_approved","Vitamin A"
"CMP47","DB00163","approved; nutraceutical; vet_approved","Vitamin E"
"CMP48","DB00165","approved; investigational; nutraceutical; vet_approved","Pyridoxine"
"CMP49","DB00166","approved; investigational; nutraceutical","Lipoic acid"
"CMP50","DB00167","investigational; nutraceutical","Isoleucine"
"CMP51","DB00168","investigational; nutraceutical","Aspartame"
"CMP52","DB00169","approved; nutraceutical","Cholecalciferol"
"CMP53","DB00170","approved; nutraceutical","Menadione"
"CMP54","DB00171","investigational; nutraceutical","ATP"
"CMP55","DB00172","nutraceutical","Proline"
"CMP56","DB00173","approved; nutraceutical","Adenine"
"CMP57","DB00174","approved; investigational; nutraceutical","Asparagine"
"CMP58","DB00175","approved","Pravastatin"
"CMP59","DB00176","approved; investigational","Fluvoxamine"
"CMP60","DB00177","approved; investigational","Valsartan"
"CMP61","DB00178","approved","Ramipril"
"CMP62","DB00179","approved; investigational","Masoprocol"
"CMP63","DB00180","approved; investigational","Flunisolide"
"CMP64","DB00181","approved","Baclofen"
"CMP65","DB00182","approved; illicit; investigational","Amphetamine"
"CMP66","DB00184","approved","Nicotine"
"CMP67","DB00185","approved","Cevimeline"
"CMP68","DB00186","approved","Lorazepam"
"CMP69","DB00187","approved","Esmolol"
"CMP70","DB00189","approved; illicit; withdrawn","Ethchlorvynol"
"CMP71","DB00190","approved","Carbidopa"
"CMP72","DB00191","approved; illicit","Phentermine"
"CMP73","DB00192","approved","Indecainide"
"CMP74","DB00193","approved; investigational","Tramadol"
"CMP75","DB00194","approved; investigational","Vidarabine"
"CMP76","DB00195","approved; investigational","Betaxolol"
"CMP77","DB00196","approved; investigational","Fluconazole"
"CMP78","DB00197","approved; investigational; withdrawn","Troglitazone"
"CMP79","DB00198","approved","Oseltamivir"
"CMP80","DB00201","approved","Caffeine"
"CMP81","DB00202","approved","Succinylcholine"
"CMP82","DB00203","approved; investigational","Sildenafil"
"CMP83","DB00204","approved; investigational","Dofetilide"
"CMP84","DB00205","approved; investigational; vet_approved","Pyrimethamine"
"CMP85","DB00206","approved; investigational","Reserpine"
"CMP86","DB00208","approved","Ticlopidine"
"CMP87","DB00210","approved","Adapalene"
"CMP88","DB00211","approved","Midodrine"
"CMP89","DB00213","approved","Pantoprazole"
"CMP90","DB00214","approved","Torasemide"
"CMP91","DB00215","approved","Citalopram"
"CMP92","DB00216","approved; investigational","Eletriptan"
"CMP93","DB00217","approved","Bethanidine"
"CMP94","DB00218","approved; investigational","Moxifloxacin"
"CMP95","DB00219","approved","Oxyphenonium"
"CMP96","DB00220","approved","Nelfinavir"
"CMP97","DB00221","approved","Isoetharine"
"CMP98","DB00223","approved","Diflorasone"
"CMP99","DB00224","approved","Indinavir"
"CMP100","DB00226","approved","Guanadrel"
"CMP101","DB00227","approved; investigational","Lovastatin"
"CMP102","DB00228","approved; investigational; vet_approved","Enflurane"
"CMP103","DB00229","approved; investigational","Cefotiam"
"CMP104","DB00230","approved; investigational","Pregabalin"
"CMP105","DB00231","approved; investigational","Temazepam"
"CMP106","DB00232","withdrawn","Methyclothiazide"
"CMP107","DB00233","approved","Aminosalicylic acid"
"CMP108","DB00234","approved; experimental","Reboxetine"
"CMP109","DB00235","approved","Milrinone"
"CMP110","DB00236","approved","Pipobroman"
"CMP111","DB00237","approved; illicit","Butabarbital"
"CMP112","DB00238","approved","Nevirapine"
"CMP113","DB00239","approved","Oxiconazole"
"CMP114","DB00240","approved","Alclometasone"
"CMP115","DB00241","approved; illicit","Butalbital"
"CMP116","DB00242","approved; investigational","Cladribine"
"CMP117","DB00243","approved; investigational","Ranolazine"
"CMP118","DB00244","approved","Mesalazine"
"CMP119","DB00246","approved","Ziprasidone"
"CMP120","DB00247","approved","Methysergide"
"CMP121","DB00248","approved","Cabergoline"
"CMP122","DB00249","approved; investigational","Idoxuridine"
"CMP123","DB00250","approved; investigational","Dapsone"
"CMP124","DB00251","approved","Terconazole"
"CMP125","DB00252","approved; vet_approved","Phenytoin"
"CMP126","DB00253","approved","Medrysone"
"CMP127","DB00255","approved; investigational","Diethylstilbestrol"
"CMP128","DB00257","approved; vet_approved","Clotrimazole"
"CMP129","DB00259","approved","Sulfanilamide"
"CMP130","DB00260","approved","Cycloserine"
"CMP131","DB00261","approved","Anagrelide"
"CMP132","DB00262","approved; investigational","Carmustine"
"CMP133","DB00263","approved; vet_approved","Sulfisoxazole"
"CMP134","DB00264","approved; investigational","Metoprolol"
"CMP135","DB00265","approved","Crotamiton"
"CMP136","DB00266","approved","Dicoumarol"
"CMP137","DB00267","approved","Cefmenoxime"
"CMP138","DB00268","approved; investigational","Ropinirole"
"CMP139","DB00269","investigational; withdrawn","Chlorotrianisene"
"CMP140","DB00270","approved; investigational","Isradipine"
"CMP141","DB00271","approved; vet_approved","Diatrizoate"
"CMP142","DB00272","approved","Betazole"
"CMP143","DB00273","approved","Topiramate"
"CMP144","DB00274","approved; investigational","Cefmetazole"
"CMP145","DB00275","approved; investigational","Olmesartan"
"CMP146","DB00276","approved; investigational","Amsacrine"
"CMP147","DB00277","approved","Theophylline"
"CMP148","DB00278","approved; investigational","Argatroban"
"CMP149","DB00279","approved; vet_approved","Liothyronine"
"CMP150","DB00280","approved","Disopyramide"
"CMP151","DB00281","approved; vet_approved","Lidocaine"
"CMP152","DB00282","approved","Pamidronic acid"
"CMP153","DB00283","approved; investigational","Clemastine"
"CMP154","DB00284","approved; investigational","Acarbose"
"CMP155","DB00285","approved","Venlafaxine"
"CMP156","DB00287","approved","Travoprost"
"CMP157","DB00288","approved","Amcinonide"
"CMP158","DB00289","approved","Atomoxetine"
"CMP159","DB00291","approved","Chlorambucil"
"CMP160","DB00292","approved","Etomidate"
"CMP161","DB00293","approved; investigational","Raltitrexed"
"CMP162","DB00294","approved; investigational","Etonogestrel"
"CMP163","DB00295","approved; investigational","Morphine"
"CMP164","DB00296","approved","Ropivacaine"
"CMP165","DB00297","approved; investigational","Bupivacaine"
"CMP166","DB00298","approved","Dapiprazole"
"CMP167","DB00299","approved","Penciclovir"
"CMP168","DB00301","approved; investigational","Flucloxacillin"
"CMP169","DB00303","approved; investigational","Ertapenem"
"CMP170","DB00304","approved","Desogestrel"
"CMP171","DB00305","approved","Mitomycin"
"CMP172","DB00306","approved; illicit","Talbutal"
"CMP173","DB00307","approved; investigational","Bexarotene"
"CMP174","DB00308","approved","Ibutilide"
"CMP175","DB00310","approved","Chlorthalidone"
"CMP176","DB00311","withdrawn","Ethoxzolamide"
"CMP177","DB00312","approved; investigational; vet_approved","Pentobarbital"
"CMP178","DB00313","approved; investigational","Valproic acid"
"CMP179","DB00315","approved; investigational","Zolmitriptan"
"CMP180","DB00316","approved","Acetaminophen"
"CMP181","DB00317","approved; investigational","Gefitinib"
"CMP182","DB00318","approved; illicit","Codeine"
"CMP183","DB00319","approved","Piperacillin"
"CMP184","DB00320","approved; investigational","Dihydroergotamine"
"CMP185","DB00321","approved","Amitriptyline"
"CMP186","DB00322","approved","Floxuridine"
"CMP187","DB00323","approved; withdrawn","Tolcapone"
"CMP188","DB00324","approved; investigational","Fluorometholone"
"CMP189","DB00327","approved; illicit","Hydromorphone"
"CMP190","DB00328","approved; investigational","Indomethacin"
"CMP191","DB00330","approved","Ethambutol"
"CMP192","DB00331","approved","Metformin"
"CMP193","DB00333","approved","Methadone"
"CMP194","DB00335","approved","Atenolol"
"CMP195","DB00336","approved; investigational; vet_approved","Nitrofural"
"CMP196","DB00338","approved; investigational; vet_approved","Omeprazole"
"CMP197","DB00339","approved; investigational","Pyrazinamide"
"CMP198","DB00340","approved","Metixene"
"CMP199","DB00341","approved","Cetirizine"
"CMP200","DB00342","approved; withdrawn","Terfenadine"
"CMP201","DB00343","approved; investigational","Diltiazem"
"CMP202","DB00344","approved","Protriptyline"
"CMP203","DB00345","approved; investigational","Aminohippuric acid"
"CMP204","DB00346","approved; investigational","Alfuzosin"
"CMP205","DB00347","approved","Trimethadione"
"CMP206","DB00348","approved; investigational","Nitisinone"
"CMP207","DB00349","approved; illicit","Clobazam"
"CMP208","DB00351","approved; investigational; vet_approved","Megestrol acetate"
"CMP209","DB00352","approved","Tioguanine"
"CMP210","DB00353","approved","Methylergometrine"
"CMP211","DB00354","approved","Buclizine"
"CMP212","DB00355","approved","Aztreonam"
"CMP213","DB00356","approved","Chlorzoxazone"
"CMP214","DB00357","approved; investigational","Aminoglutethimide"
"CMP215","DB00358","approved; investigational","Mefloquine"
"CMP216","DB00359","approved; investigational; vet_approved","Sulfadiazine"
"CMP217","DB00360","approved; investigational","Sapropterin"
"CMP218","DB00365","approved; investigational; withdrawn","Grepafloxacin"
"CMP219","DB00366","approved; vet_approved","Doxylamine"
"CMP220","DB00367","approved; investigational","Levonorgestrel"
"CMP221","DB00368","approved","Norepinephrine"
"CMP222","DB00369","approved","Cidofovir"
"CMP223","DB00370","approved","Mirtazapine"
"CMP224","DB00371","approved; illicit","Meprobamate"
"CMP225","DB00372","approved; withdrawn","Thiethylperazine"
"CMP226","DB00373","approved","Timolol"
"CMP227","DB00374","approved; investigational","Treprostinil"
"CMP228","DB00376","approved","Trihexyphenidyl"
"CMP229","DB00377","approved; investigational","Palonosetron"
"CMP230","DB00378","approved; investigational; withdrawn","Dydrogesterone"
"CMP231","DB00379","approved; investigational","Mexiletine"
"CMP232","DB00380","approved; withdrawn","Dexrazoxane"
"CMP233","DB00381","approved","Amlodipine"
"CMP234","DB00382","approved; investigational; withdrawn","Tacrine"
"CMP235","DB00383","approved","Oxyphencyclimine"
"CMP236","DB00384","approved","Triamterene"
"CMP237","DB00387","approved","Procyclidine"
"CMP238","DB00388","approved","Phenylephrine"
"CMP239","DB00389","approved; investigational","Carbimazole"
"CMP240","DB00391","approved; investigational","Sulpiride"
"CMP241","DB00392","approved","Profenamine"
"CMP242","DB00393","approved; investigational","Nimodipine"
"CMP243","DB00394","approved; investigational","Beclomethasone dipropionate"
"CMP244","DB00395","approved","Carisoprodol"
"CMP245","DB00396","approved; vet_approved","Progesterone"
"CMP246","DB00397","approved; vet_approved; withdrawn","Phenylpropanolamine"
"CMP247","DB00398","approved; investigational","Sorafenib"
"CMP248","DB00399","approved","Zoledronic acid"
"CMP249","DB00400","approved; investigational; vet_approved","Griseofulvin"
"CMP250","DB00401","approved","Nisoldipine"
"CMP251","DB00402","approved; investigational","Eszopiclone"
"CMP252","DB00404","approved; illicit; investigational","Alprazolam"
"CMP253","DB00405","approved","Dexbrompheniramine"
"CMP254","DB00406","approved","Gentian violet cation"
"CMP255","DB00408","approved","Loxapine"
"CMP256","DB00409","approved; withdrawn","Remoxipride"
"CMP257","DB00411","approved","Carbamoylcholine"
"CMP258","DB00412","approved; investigational","Rosiglitazone"
"CMP259","DB00413","approved; investigational","Pramipexole"
"CMP260","DB00414","approved; investigational; withdrawn","Acetohexamide"
"CMP261","DB00415","approved; vet_approved","Ampicillin"
"CMP262","DB00417","approved; vet_approved","Phenoxymethylpenicillin"
"CMP263","DB00418","approved; vet_approved","Secobarbital"
"CMP264","DB00419","approved","Miglustat"
"CMP265","DB00420","approved; vet_approved","Promazine"
"CMP266","DB00421","approved","Spironolactone"
"CMP267","DB00422","approved; investigational","Methylphenidate"
"CMP268","DB00423","approved; vet_approved","Methocarbamol"
"CMP269","DB00425","approved","Zolpidem"
"CMP270","DB00426","approved; investigational","Famciclovir"
"CMP271","DB00427","approved","Triprolidine"
"CMP272","DB00428","approved; investigational","Streptozocin"
"CMP273","DB00430","approved","Cefpiramide"
"CMP274","DB00432","approved; investigational","Trifluridine"
"CMP275","DB00433","approved; vet_approved","Prochlorperazine"
"CMP276","DB00434","approved","Cyproheptadine"
"CMP277","DB00436","approved","Bendroflumethiazide"
"CMP278","DB00437","approved","Allopurinol"
"CMP279","DB00438","approved","Ceftazidime"
"CMP280","DB00439","approved; withdrawn","Cerivastatin"
"CMP281","DB00440","approved; vet_approved","Trimethoprim"
"CMP282","DB00441","approved","Gemcitabine"
"CMP283","DB00442","approved; investigational","Entecavir"
"CMP284","DB00443","approved; vet_approved","Betamethasone"
"CMP285","DB00444","approved","Teniposide"
"CMP286","DB00445","approved","Epirubicin"
"CMP287","DB00446","approved; vet_approved","Chloramphenicol"
"CMP288","DB00447","approved; investigational; withdrawn","Loracarbef"
"CMP289","DB00448","approved; investigational","Lansoprazole"
"CMP290","DB00449","approved","Dipivefrin"
"CMP291","DB00450","approved; vet_approved","Droperidol"
"CMP292","DB00451","approved","Levothyroxine"
"CMP293","DB00452","approved","Framycetin"
"CMP294","DB00454","approved","Meperidine"
"CMP295","DB00455","approved; investigational","Loratadine"
"CMP296","DB00456","approved; investigational; vet_approved","Cefalotin"
"CMP297","DB00457","approved","Prazosin"
"CMP298","DB00458","approved","Imipramine"
"CMP299","DB00459","approved","Acitretin"
"CMP300","DB00461","approved","Nabumetone"
"CMP301","DB00463","withdrawn","Metharbital"
"CMP302","DB00465","approved","Ketorolac"
"CMP303","DB00467","approved; investigational","Enoxacin"
