"","id","smile"
"1","DB00114","CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O"
"2","DB00116","NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1"
"3","DB00117","N[C@@H](CC1=CNC=N1)C(O)=O"
"4","DB00118","C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N"
"5","DB00119","CC(=O)C(O)=O"
"6","DB00120","N[C@@H](CC1=CC=CC=C1)C(O)=O"
"7","DB00121","[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2"
"8","DB00122","C[N+](C)(C)CCO"
"9","DB00123","NCCCC[C@H](N)C(O)=O"
"10","DB00125","N[C@@H](CCCNC(N)=N)C(O)=O"
"11","DB00126","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO"
"12","DB00127","NCCCNCCCCNCCCN"
"13","DB00128","N[C@@H](CC(O)=O)C(O)=O"
"14","DB00129","NCCC[C@H](N)C(O)=O"
"15","DB00130","N[C@@H](CCC(N)=O)C(O)=O"
"16","DB00131","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1"
"17","DB00132","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O"
"18","DB00133","N[C@@H](CO)C(O)=O"
"19","DB00134","CSCC[C@H](N)C(O)=O"
"20","DB00135","[H][C@](N)(CC1=CC=C(O)C=C1)C(O)=O"
"21","DB00136","C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C"
"22","DB00137","C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C"
"23","DB00138","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O"
"24","DB00139","OC(=O)CCC(O)=O"
"25","DB00140","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1"
"26","DB00141","[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO"
"27","DB00142","N[C@@H](CCC(O)=O)C(O)=O"
"28","DB00143","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O"
"29","DB00145","NCC(O)=O"
"30","DB00146","C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C"
"31","DB00147","CC1=NC=C(CO)C(C=O)=C1O"
"32","DB00148","CN(CC(O)=O)C(N)=N"
"33","DB00149","CC(C)C[C@H](N)C(O)=O"
"34","DB00150","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O"
"35","DB00151","N[C@@H](CS)C(O)=O"
"36","DB00152","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N"
"37","DB00153","CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C"
"38","DB00154","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O"
"39","DB00155","N[C@@H](CCCNC(N)=O)C(O)=O"
"40","DB00156","C[C@@H](O)[C@H](N)C(O)=O"
"41","DB00157","NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O"
"42","DB00158","NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1"
"43","DB00159","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O"
"44","DB00160","C[C@H](N)C(O)=O"
"45","DB00161","CC(C)[C@H](N)C(O)=O"
"46","DB00162","C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C"
"47","DB00163","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C"
"48","DB00165","CC1=C(O)C(CO)=C(CO)C=N1"
"49","DB00166","OC(=O)CCCC[C@@H]1CCSS1"
"50","DB00167","CC[C@H](C)[C@H](N)C(O)=O"
"51","DB00168","COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O"
"52","DB00169","CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C"
"53","DB00170","CC1=CC(=O)C2=CC=CC=C2C1=O"
"54","DB00171","[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O"
"55","DB00172","OC(=O)[C@@H]1CCCN1"
"56","DB00173","NC1=C2NC=NC2=NC=N1"
"57","DB00174","N[C@@H](CC(N)=O)C(O)=O"
"58","DB00175","[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC"
"59","DB00176","COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F"
"60","DB00177","CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O"
"61","DB00178","[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC"
"62","DB00179","C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1"
"63","DB00180","[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO"
"64","DB00181","NCC(CC(O)=O)C1=CC=C(Cl)C=C1"
"65","DB00182","CC(N)CC1=CC=CC=C1"
"66","DB00184","CN1CCC[C@H]1C1=CN=CC=C1"
"67","DB00185","CC1O[C@@]2(CS1)CN1CCC2CC1"
"68","DB00186","OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2"
"69","DB00187","COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1"
"70","DB00189","CCC(O)(\C=C\Cl)C#C"
"71","DB00190","C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O"
"72","DB00191","CC(C)(N)CC1=CC=CC=C1"
"73","DB00192","CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12"
"74","DB00193","COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C"
"75","DB00194","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O"
"76","DB00195","CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1"
"77","DB00196","OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1"
"78","DB00197","CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O"
"79","DB00198","CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1"
"80","DB00201","CN1C=NC2=C1C(=O)N(C)C(=O)N2C"
"81","DB00202","C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C"
"82","DB00203","CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1"
